Line of Business,Client,Project ,Manager/Director,Project Manager,Contract Type,Status,Budget,Assigned To,Review,Internal Completion Date ,Due Date (External),BQE Project #,Region,ISO/TSO/Utility,Technology,Project Source,Notes,Column1
,,,,,"(Fixed, TM, TM+Cap)",,,,,,,,(ERCOT/WECC),,,,,
Generation Interconnection, ,Hawkeye Data 4 T3 - T3 FIS Scoping Meeting & Assistance in Negotiation of the FIS Scope,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"3,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-25,,ERCOT,,BESS,,,
Generation Interconnection,"Circal USA Services, LLC",Perigee Solar TASK 2: ERCOT PSS/E MODEL QUALITY TEST AND TUNING,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"11,000",Mary Fadlallah,Sonjoy Roy,3/15/2026,30-Mar-26,403681,ERCOT,,Solar,,,
Generation Interconnection,"Circal USA Services, LLC",Perigee Solar TASK 1: ERCOT EXPEDITED SS & FIS APPLICATION,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"18,000",Mary Fadlallah,Sonjoy Roy,2/21/2026,28-Feb-26,403681,ERCOT,,Solar,,"RFI Sent out, waiting for response",
Generation Interconnection,"Circal USA Services, LLC",Perigee Solar TASK 3: GENERAL INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Sonjoy Roy,HNTE,Invoice time spent at end of month,"10,000",,Sonjoy Roy,,1-Dec-26,403681,ERCOT,,Solar,,,
Generation Interconnection,Plug Power,Task 1: PSCAD™ Plant Model Development ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"30,000",Bikram Bhandari,Joelle Abi Nahed,11/18/2024,20-Nov-24,,ERCOT,,,,Follow-up on the info required.,
Generation Interconnection,Plug Power,Task 2: Project Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,,,,,,1-Dec-26,,ERCOT,,,,,
Generation Interconnection,174 Power Global LLC ,DI-4 Load Interconnection T2 - T2 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"5,000",,,,1-Dec-25,,ERCOT,,,,,
Generation Interconnection,174 Power Global LLC ,DI-4 Load Interconnection T3 - T3 PSSE Model Development,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"7,000",,,,1-Dec-24,,ERCOT,,,,we did form not models,
Generation Interconnection,174 Power Global LLC ,DI-4 Load Interconnection T4 - T4 Dynamic Load Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,174 Power Global LLC ,Hawkeye Data 4 T4 - T4 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"15,000",,,,1-Dec-25,,ERCOT,,BESS,,not yet submitted on rioo,
TPGEN,"536 Development, LLC ",ERCOT Site Selection Support T1 - T1 Site Selection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"2,000",,,,1-Dec-25,,ERCOT,,,,,
Generation Interconnection,AC Digital Corp,Longbow TASK 1: LOAD INTERCONNECTION,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,In progress,"15,000",Bikram Bhandari,Joelle Abi-Nahed,,1-Dec-26,203761,ERCOT,,BESS,,finalize reactive,
,,SUPPORT,,,,,,,,,,,,,,,fill out rioo - TO received awaiting for budge,
Generation Interconnection,AC Digital Corp,Longbow TASK 5: REACTIVE POWER COMPENSATION STUDY – SOLAR GENERATION + PUN LOAD,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"20,000",Sonjoy Roy,Joelle Abi-Nahed,6/30/2025,30-Jun-25,203761,ERCOT,,PV+load,,share with CNP once done,
,,,,,,,,,,,,,,,,,repower process?,
Generation Interconnection,AC digital Corp,Longbow Solar T7-: DEVELOP COMBINED PLANT DETAILED MODEL - LONGBOW SOLAR (PV+LOAD) + LONGBOW BESS,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"5,000",Ghida Hajj Hassan,Sonjoy Roy,12/10/2025,26-Dec-25,203761,ERCOT,,PV+load,,,
Generation Interconnection,AC digital Corp,Longbow Solar T8 SENSITIVITY - COMBINED,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"17,500",Ghida Hajj Hassan,Sonjoy Roy,12/10/2025,26-Dec-25,203761,ERCOT,,PV+load,,EPS meter design approval,
,,REACTIVE POWER SCENARIOS – (LONGBOW SOLAR + PUN LOAD + LONGBOW BESS) ,,,,,,,,,,,,,,,• If ERCOT held to 90 day notice and our submittal is 12/20 that would put us to 3/20/26. Need to confirm with ERCOT as this is an update per their request. ,
Generation Interconnection,"ACE DevCo NC, LLC  (AES)",Black Hawk TASK 1: PSSE EQUIVALENT MODEL,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"9,000",Mary Fadlallah,Sonjoy Roy,4/17/2026,1-May-26,403797,ERCOT,,PV,,PO?,
Generation Interconnection,"ACE DevCo NC, LLC  (AES)",Black Hawk TASK 2: ERCOT PSS/E MODEL QUALITY TEST AND TUNING,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"11,000",Mary Fadlallah,Sonjoy Roy,4/17/2026,28-Apr-26,403797,ERCOT,,PV,,,
Generation Interconnection,Advanced Power,"Alina Solar  Task 8: PSS/E MODEL, MODEL QUALITY TEST AND TUNING UDPATE – SOLAR ONLY – SMA SC4400",Joelle Abi-Nahed,Lea El Khoury,Fixed,Can be Invoiced and Closed,"20,000",Marise El Nacouzi,Perla Boulos,5/5/2026,14-May-26,200044,ERCOT,,solar,,HVRT with new dyr?,
Generation Interconnection,Advanced Power,Alina Solar Task 9: ERCOT FIS APPLICATION MATERIAL UPDATE – SMA SC4400,Joelle Abi-Nahed,Lea El Khoury,Fixed,Mark as Cancelled,"10,000",Marise El Nacouzi,Perla Boulos,,2-Jul-26,200044,ERCOT,,solar,,,
Generation Interconnection,Advanced Power,Alina Solar Task 10: PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Lea El Khoury,HNTE,Invoice time spent at end of month,"5,000",Lea El Khoury,Lea El Khoury,,1-Dec-26,200044,ERCOT,,solar,,,
Generation Interconnection,Advanced Power,Genesis (ironwood/callahan) T1- Load General Support,Joelle Abi-Nahed,Sonjoy Roy,HNTE,Invoice time spent at end of month,"10,000",Mary Fadlallah,Sonjoy Roy,,1-Dec-26,405568,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Genesis (ironwood/callahan) T2- Load PSSE Model,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced - leave open,20000,Mary Fadlallah,Sonjoy Roy,25-May,30-May-26,405568,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Eastland T1- Load General Support,Joelle Abi-Nahed,Sonjoy Roy,HNTE,Invoice time spent at end of month,"10,000",Ghida Hajj Hassan,Sonjoy Roy,,1-Dec-26,406056,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Eastland T2- Load PSSE Model,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"20,000",Ghida Hajj Hassan,Sonjoy Roy,10-Jun,22-Jun-26,406056,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Elio T1- Load General Support,Joelle Abi-Nahed,Sonjoy Roy,HNTE,Invoice time spent at end of month,"10,000",,Sonjoy Roy,,1-Dec-26,406646,ERCOT,,load,,TO?,
Generation Interconnection,Advanced Power,Elio T2- Load PSSE Model,Joelle Abi-Nahed,Sonjoy Roy,Fixed,In progress,"8,000",,Sonjoy Roy,,1-Dec-26,406646,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Elio T 3: LOAD DYNAMIC LOAD MODEL,Joelle Abi-Nahed,Sonjoy Roy,Fixed,In progress,"15,000",,Sonjoy Roy,,1-Dec-26,406646,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Stone Creek  T1- Load General Support,Joelle Abi-Nahed,Sonjoy Roy,HNTE,Invoice time spent at end of month,"10,000",,Sonjoy Roy,,1-Dec-26,406639,ERCOT,,load,,TO?,
Generation Interconnection,Advanced Power,Stone Creek  T2- Load PSSE Model,Joelle Abi-Nahed,Sonjoy Roy,Fixed,In progress,"8,000",,Sonjoy Roy,,1-Dec-26,406639,ERCOT,,load,,,
Generation Interconnection,Advanced Power,Stone Creek  T 3: LOAD DYNAMIC LOAD MODEL,Joelle Abi-Nahed,Sonjoy Roy,Fixed,In progress,"15,000",,Sonjoy Roy,,1-Dec-26,406639,ERCOT,,load,,,
Generation Interconnection,Advanced Power (NA) ,Calypte Solar T1 - T1 TEP Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"14,000",Georgette Khanfour,Yang Zhou,3-Apr,12-Apr-24,,WECC,,solar,,,
Generation Interconnection,Advanced Power (NA) ,Calypte Storage T1 - T1 TEP Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"14,000",Georgette Khanfour,Yang Zhou,3-Apr,12-Apr-24,,WECC,,Solar,,,
Generation Interconnection,Advanced Power (NA) ,Verdin Solar T1 - T1 APS Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"14,000",Georgette Khanfour,Yang Zhou,29-Apr,8-May-24,,WECC,,Solar,,,
Generation Interconnection,Advanced Power (NA) ,Verdin Storage T1 - T1 APS Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"14,000",Georgette Khanfour,Yang Zhou,29-Apr,8-May-24,,WECC,,BESS,,,
Generation Interconnection,Advanced Power (NA) ,Verdin solar T3 - T3 PSCAD model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"22,000",Yang Zhou,Joelle Abi Nahed,,8-May-24,,WECC,,BESS,,,
Generation Interconnection,Advanced Power (NA) ,Calypte Solar T2 - T2 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Georgette Khanfour,Yang Zhou,,1-Dec-26,,WECC,,solar,,TEP window closes on MAy 3rd,
